Row,Date,Day,Time,Hour,Shift,System_Name,LPAR_Name,Sysplex_Name,Environment,Application_Name,Application_Type,CPU_Usage_Pct,CPU_MSU,Memory_Usage_Pct,DASD_IO_Rate,Channel_Busy_Pct,Batch_Jobs_Running,Online_Transactions_Per_Sec,WLM_Service_Class,WLM_Goal_Pct,Alert_Level
1,2026-03-01,Sunday,00:15,0,Night,ZOS1,LPROD1,SYSPLEX1,Production,CICS_Banking,CICS,32.5,185,61.2,4500,22.1,12,320,HIGHPROD,98.5,Normal
2,2026-03-01,Sunday,01:30,1,Night,ZOS1,LPROD1,SYSPLEX1,Production,DB2_CoreBank,DB2,28.4,162,58.7,3800,18.5,8,180,HIGHPROD,99.1,Normal
3,2026-03-01,Sunday,02:45,2,Night,ZOS2,LPROD2,SYSPLEX1,Production,IMS_Payments,IMS,18.7,105,45.3,2900,14.2,15,95,MEDPROD,97.8,Normal
4,2026-03-01,Sunday,04:00,4,Night,ZOS3,LTEST1,SYSPLEX2,Test,CICS_TestBank,CICS,8.2,42,22.5,800,5.1,3,40,TESTCLS,95.2,Normal
5,2026-03-01,Sunday,06:15,6,Morning,ZOS1,LPROD1,SYSPLEX1,Production,MQ_Middleware,MQ Series,45.3,258,72.4,6200,35.8,22,580,HIGHPROD,96.3,Warning
6,2026-03-01,Sunday,08:00,8,Morning,ZOS2,LPROD2,SYSPLEX1,Production,CICS_Insurance,CICS,52.1,298,68.9,7100,38.4,18,720,HIGHPROD,94.7,Warning
7,2026-03-01,Sunday,09:30,9,Morning,ZOS1,LPROD1,SYSPLEX1,Production,DB2_CoreBank,DB2,61.8,352,75.6,8500,42.7,25,890,HIGHPROD,93.1,Warning
8,2026-03-01,Sunday,10:00,10,Morning,ZOS4,LUAT1,SYSPLEX2,UAT,CICS_UAT_Bank,CICS,22.3,115,38.4,1500,12.3,6,150,UATCLS,97.5,Normal
9,2026-03-01,Sunday,11:15,11,Morning,ZOS3,LTEST1,SYSPLEX2,Test,DB2_TestLoan,DB2,15.6,78,28.9,1100,8.7,4,85,TESTCLS,98.9,Normal
10,2026-03-01,Sunday,12:00,12,Afternoon,ZOS1,LPROD1,SYSPLEX1,Production,CICS_Banking,CICS,78.4,448,82.3,11200,55.6,30,1250,HIGHPROD,89.2,Critical
11,2026-03-02,Monday,00:30,0,Night,ZOS2,LPROD2,SYSPLEX1,Production,Batch_EOD,Batch,85.2,486,88.1,14500,62.3,45,50,BATCHHI,91.5,Critical
12,2026-03-02,Monday,01:45,1,Night,ZOS1,LPROD1,SYSPLEX1,Production,Batch_Recon,Batch,72.6,414,79.5,12800,58.1,38,30,BATCHHI,92.8,Warning
13,2026-03-02,Monday,03:00,3,Night,ZOS2,LPROD2,SYSPLEX1,Production,IMS_Payments,IMS,25.3,144,48.6,3200,16.8,20,120,MEDPROD,98.2,Normal
14,2026-03-02,Monday,05:00,5,Night,ZOS3,LTEST1,SYSPLEX2,Test,Batch_TestRun,Batch,12.4,63,25.1,950,6.8,5,0,TESTCLS,99.1,Normal
15,2026-03-02,Monday,07:00,7,Morning,ZOS1,LPROD1,SYSPLEX1,Production,CICS_Banking,CICS,55.8,318,70.2,7800,40.5,20,650,HIGHPROD,95.1,Warning
16,2026-03-02,Monday,08:30,8,Morning,ZOS2,LPROD2,SYSPLEX1,Production,DB2_CoreBank,DB2,68.9,393,78.4,9800,48.2,28,950,HIGHPROD,91.8,Warning
17,2026-03-02,Monday,09:00,9,Morning,ZOS4,LUAT1,SYSPLEX2,UAT,IMS_UAT_Pay,IMS,28.7,148,42.1,1800,15.6,8,200,UATCLS,96.8,Normal
18,2026-03-02,Monday,10:15,10,Morning,ZOS1,LPROD1,SYSPLEX1,Production,MQ_Middleware,MQ Series,82.3,470,85.7,13200,60.1,32,1100,HIGHPROD,88.5,Critical
19,2026-03-02,Monday,11:00,11,Morning,ZOS2,LPROD2,SYSPLEX1,Production,CICS_Insurance,CICS,75.1,428,80.9,10500,52.8,26,1050,HIGHPROD,90.3,Critical
20,2026-03-02,Monday,12:30,12,Afternoon,ZOS1,LPROD1,SYSPLEX1,Production,CICS_Banking,CICS,88.6,505,91.2,15800,68.4,35,1480,HIGHPROD,85.6,Critical
